S.N,Company,High,Low,Average,Closing,Trade Volume,Share Volume
275.,SBLD2082,"1,134.00","1,005.00","1,058.400.007,744,2327,264",0.00,"7,744,232","7,264"
276.,HBLD83,"1,128.00","1,040.00","1,056.620.005,064,3954,780",0.00,"5,064,395","4,780"
277.,PBLD86,"1,088.00",980.00,"1,046.200.004,292,7684,125",0.00,"4,292,768","4,125"
278.,SFMF,20.00,10.21,"13.1411.911,042,513,21870,984,907",11.91,"1,042,513,218","70,984,907"
279.,SRBLD83,"1,090.00",966.40,"1,048.37966.4080,907,88875,640",966.40,"80,907,888","75,640"
280.,LBLD86,"1,076.00",991.00,"1,040.820.003,750,4443,596",0.00,"3,750,444","3,596"
281.,HDHPC,478.90,123.00,"271.03333.5016,561,865,00359,124,020",333.50,"16,561,865,003","59,124,020"
282.,NRIC,"2,010.00","1,105.10","1,475.811,235.0047,978,053,05130,160,054","1,235.00","47,978,053,051","30,160,054"
283.,ICFCD83,"1,274.00","1,080.00","1,169.331,111.8031,068,89626,715","1,111.80","31,068,896","26,715"
284.,GWFD83,"1,242.00","1,050.00","1,150.411,091.0022,533,63819,541","1,091.00","22,533,638","19,541"
285.,KBLD86,"1,141.00",997.00,"1,053.031,033.9061,610,11057,173","1,033.90","61,610,110","57,173"
286.,ADBLD83,"1,150.00",994.70,"1,052.691,000.0051,954,21949,366","1,000.00","51,954,219","49,366"
287.,NICLBSL,"2,037.00",759.00,"1,420.651,238.008,292,458,4165,327,056","1,238.00","8,292,458,416","5,327,056"
288.,SBIBD86,"1,068.00",990.00,"1,044.660.0019,930,33019,074",0.00,"19,930,330","19,074"
289.,NBLD82,"1,106.00",975.10,"1,037.950.004,785,5254,615",0.00,"4,785,525","4,615"
290.,AIL,"1,125.00",588.80,"780.95735.003,669,059,3994,416,058",735.00,"3,669,059,399","4,416,058"
291.,NICAD8182,"1,049.00",950.00,"1,002.650.006,033,8965,993",0.00,"6,033,896","5,993"
292.,SDLBSL,"2,079.00","1,026.00","1,539.031,349.002,555,385,9241,553,153","1,349.00","2,555,385,924","1,553,153"
293.,NRN,990.00,365.00,"624.46683.008,549,600,80112,901,743",683.00,"8,549,600,801","12,901,743"
294.,RLI,818.00,423.40,"635.36568.004,714,784,2136,939,631",568.00,"4,714,784,213","6,939,631"
295.,LUK,16.00,9.31,"10.5910.17375,229,88430,209,420",10.17,"375,229,884","30,209,420"
296.,LEC,530.00,216.00,"354.38371.504,720,816,57312,357,601",371.50,"4,720,816,573","12,357,601"
297.,PBLD84,"1,100.00",980.00,"1,041.310.0075,489,50672,371",0.00,"75,489,506","72,371"
298.,GIC,860.00,485.10,"665.73652.002,668,372,9343,794,989",652.00,"2,668,372,934","3,794,989"
299.,SSHL,533.00,156.00,"313.10355.007,826,081,23424,206,204",355.00,"7,826,081,234","24,206,204"
300.,SGI,900.00,474.00,"685.58650.002,656,846,8263,601,416",650.00,"2,656,846,826","3,601,416"
301.,SLBSP,"1,111.00",531.00,"966.000.007,434,1927,332",0.00,"7,434,192","7,332"
302.,SBLD84,"1,020.00",925.00,"980.53925.009,290,8189,415",925.00,"9,290,818","9,415"
303.,MEN,"1,530.00",499.00,"954.481,175.004,069,823,7134,277,088","1,175.00","4,069,823,713","4,277,088"
304.,UMRH,811.00,220.00,"468.64600.001,862,068,5823,648,309",600.00,"1,862,068,582","3,648,309"
305.,PLI,"1,016.00",477.00,"716.37623.004,480,597,4495,760,650",623.00,"4,480,597,449","5,760,650"
306.,CGH,"2,800.00",159.00,"1,478.611,388.006,064,702,2603,355,305","1,388.00","6,064,702,260","3,355,305"
307.,NIFRA,726.00,268.50,"450.75353.5037,206,562,72773,876,304",353.50,"37,206,562,727","73,876,304"
308.,FOWADP,100.00,80.00,"906.390.00376,121,600433,600",0.00,"376,121,600","433,600"
309.,SBD87,"1,010.00",932.00,"979.92932.0015,537,53115,712",932.00,"15,537,531","15,712"
310.,SLCF,11.40,8.78,"9.869.6966,803,5146,602,819",9.69,"66,803,514","6,602,819"
311.,GLH,657.00,299.00,"432.32470.003,415,340,5177,241,008",470.00,"3,415,340,517","7,241,008"
312.,MLBSL,"5,749.00",438.00,"4,129.063,755.003,709,878,200779,427","3,755.00","3,709,878,200","779,427"
313.,MSLBP,"1,370.00","1,073.00","1,039.350.0071,898,45681,868",0.00,"71,898,456","81,868"
314.,JLI,998.00,360.00,"692.53731.903,245,472,1004,221,342",731.90,"3,245,472,100","4,221,342"
315.,NIBD84,"1,000.00",925.00,"946.110.005,600,8225,915",0.00,"5,600,822","5,915"
316.,MFLD85,"1,055.00",938.00,"1,005.990.0015,709,43215,565",0.00,"15,709,432","15,565"
317.,KEF,11.65,8.67,"9.809.30102,171,8449,894,106",9.30,"102,171,844","9,894,106"
318.,SHEL,650.00,306.00,"449.57486.002,311,717,0704,679,513",486.00,"2,311,717,070","4,679,513"
319.,RURU,"1,849.20",356.00,"1,034.371,000.00958,646,448821,587","1,000.00","958,646,448","821,587"
320.,NCCD86,"1,026.00",946.00,"991.380.005,938,0065,936",0.00,"5,938,006","5,936"
321.,SBCF,11.29,8.18,"9.689.2057,917,0805,875,204",9.20,"57,917,080","5,875,204"
322.,CHDC,"1,415.00",416.00,"853.26885.004,426,378,9964,879,017",885.00,"4,426,378,996","4,879,017"
323.,PSF,11.22,8.75,"9.709.4093,796,2279,330,300",9.40,"93,796,227","9,330,300"
324.,NIBSF2,11.53,8.56,"9.769.6365,866,3896,362,294",9.63,"65,866,389","6,362,294"
325.,JBLB,"5,516.90",890.00,"4,089.004,450.006,571,069,1701,445,910","4,450.00","6,571,069,170","1,445,910"
326.,MKLB,"2,310.00",296.70,"1,327.851,498.80450,253,760256,703","1,498.80","450,253,760","256,703"
327.,ULI,940.10,342.00,"646.46688.002,304,208,0673,301,309",688.00,"2,304,208,067","3,301,309"
328.,NICSF,10.10,8.75,"9.389.1716,936,9781,797,177",9.17,"16,936,978","1,797,177"
329.,RMF1,10.30,8.80,"9.449.2016,700,6901,759,568",9.20,"16,700,690","1,759,568"
330.,SLI,787.80,309.00,"530.09575.001,129,385,7871,970,727",575.00,"1,129,385,787","1,970,727"
331.,LBLD88,"1,000.00",923.50,"953.820.002,331,2122,427",0.00,"2,331,212","2,427"
332.,PBD85,"1,000.00",903.10,"954.330.002,845,9812,986",0.00,"2,845,981","2,986"
